"sk",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"bl",o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o
"rp",o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ar",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ls",o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"av",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o
"lc",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"km",oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"bb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"jd",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ck",o,o,oc,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o
"tb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
